No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time,date_time_month,RAIN_GROUP
269,2013,3,12,4,112.0,140.0,68.0,81.0,1399.0,47.0,4.3,1006.3,1.5,0.4,E,0.9,Aotizhongxin,2013-03-12 04:00:00,2013-03,No Rain
270,2013,3,12,5,140.0,237.0,34.0,74.0,2100.0,47.0,4.7,1006.1,1.5,0.1,NNE,1.3,Aotizhongxin,2013-03-12 05:00:00,2013-03,No Rain
271,2013,3,12,6,146.0,165.0,22.0,66.0,2100.0,47.0,4.1,1006.2,2.6,0.9,W,1.0,Aotizhongxin,2013-03-12 06:00:00,2013-03,No Rain
272,2013,3,12,7,115.0,121.0,21.0,77.0,2100.0,47.0,3.5,1006.9,2.2,0.9,NW,1.4,Aotizhongxin,2013-03-12 07:00:00,2013-03,No Rain
273,2013,3,12,8,120.0,122.0,17.0,78.0,1600.0,47.0,3.1,1006.9,1.9,0.4,N,1.5,Aotizhongxin,2013-03-12 08:00:00,2013-03,No Rain
278,2013,3,12,13,129.0,84.0,15.0,68.0,1500.0,47.0,5.3,1006.6,2.8,0.1,NE,1.8,Aotizhongxin,2013-03-12 13:00:00,2013-03,No Rain
429,2013,3,18,20,55.0,133.0,38.0,50.0,800.0,42.0,4.4,1003.7,-3.6,0.1,S,4.7,Aotizhongxin,2013-03-18 20:00:00,2013-03,No Rain
449,2013,3,19,16,45.0,49.0,19.0,33.0,600.0,36.0,3.5,1009.3,1.7,0.2,NE,1.7,Aotizhongxin,2013-03-19 16:00:00,2013-03,No Rain
450,2013,3,19,17,38.0,39.0,14.0,37.0,600.0,29.0,2.8,1009.8,1.8,0.7,NE,2.5,Aotizhongxin,2013-03-19 17:00:00,2013-03,No Rain
451,2013,3,19,18,28.0,28.0,10.0,40.0,700.0,25.0,2.3,1011.4,1.6,1.4,NE,1.8,Aotizhongxin,2013-03-19 18:00:00,2013-03,Light Rain
452,2013,3,19,19,30.0,30.0,10.0,50.0,900.0,14.0,1.7,1013.2,1.0,1.4,NE,2.3,Aotizhongxin,2013-03-19 19:00:00,2013-03,Light Rain
453,2013,3,19,20,38.0,24.0,9.0,61.0,800.0,6.0,0.9,1013.9,0.5,1.8,NE,1.6,Aotizhongxin,2013-03-19 20:00:00,2013-03,Light Rain
